[06-May-2015 02:46:33 Europe/Berlin] PHP Fatal error:  Access level to Core\mytpl::__construct() must be public (as in class Lib\template) in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:46:33 Europe/Berlin] PHP Fatal error:  Access level to Core\mytpl::__construct() must be public (as in class Lib\template) in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 02:48:19 Europe/Berlin] PHP Fatal error:  Access level to Core\mytpl::__construct() must be public (as in class Lib\template) in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 03:10:39 Europe/Berlin] PHP Warning:  file_get_contents(D:/xampp/www/xphp/View/home/index): failed to open stream: No such file or directory in D:\xampp\www\xphp\Lib\template.class.php on line 253
[06-May-2015 03:10:39 Europe/Berlin] PHP Deprecated:  preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead in D:\xampp\www\xphp\Lib\template.class.php on line 293
[06-May-2015 03:10:39 Europe/Berlin] PHP Warning:  file_get_contents(D:/xampp/www/xphp/View/home/index): failed to open stream: No such file or directory in D:\xampp\www\xphp\Lib\template.class.php on line 253
[06-May-2015 03:10:39 Europe/Berlin] PHP Deprecated:  preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead in D:\xampp\www\xphp\Lib\template.class.php on line 293
[06-May-2015 03:10:40 Europe/Berlin] PHP Warning:  file_get_contents(D:/xampp/www/xphp/View/home/index): failed to open stream: No such file or directory in D:\xampp\www\xphp\Lib\template.class.php on line 253
[06-May-2015 03:10:40 Europe/Berlin] PHP Deprecated:  preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead in D:\xampp\www\xphp\Lib\template.class.php on line 293
[06-May-2015 03:10:44 Europe/Berlin] PHP Warning:  file_get_contents(D:/xampp/www/xphp/View/home/index): failed to open stream: No such file or directory in D:\xampp\www\xphp\Lib\template.class.php on line 253
[06-May-2015 03:10:44 Europe/Berlin] PHP Deprecated:  preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead in D:\xampp\www\xphp\Lib\template.class.php on line 293
[06-May-2015 03:14:27 Europe/Berlin] PHP Deprecated:  preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead in D:\xampp\www\xphp\Lib\template.class.php on line 293
[06-May-2015 03:15:31 Europe/Berlin] PHP Warning:  preg_replace_callback(): Requires argument 2, '$this-&gt;select('\1');', to be a valid callback in D:\xampp\www\xphp\Lib\template.class.php on line 293
[06-May-2015 03:15:41 Europe/Berlin] PHP Deprecated:  preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead in D:\xampp\www\xphp\Lib\template.class.php on line 293
[06-May-2015 03:17:35 Europe/Berlin] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in D:\xampp\www\xphp\Lib\template.class.php on line 293
[06-May-2015 03:36:54 Europe/Berlin] PHP Parse error:  syntax error, unexpected '}' in D:\xampp\www\xphp\Controller\Controller.class.php on line 25
[06-May-2015 03:37:49 Europe/Berlin] PHP Warning:  Missing argument 1 for Controller\Controller::assign(), called in D:\xampp\www\xphp\Controller\IndexController.class.php on line 12 and defined in D:\xampp\www\xphp\Controller\Controller.class.php on line 23
[06-May-2015 03:37:49 Europe/Berlin] PHP Notice:  Undefined variable: var in D:\xampp\www\xphp\Controller\Controller.class.php on line 24
[06-May-2015 03:38:04 Europe/Berlin] PHP Warning:  Missing argument 1 for Controller\Controller::assign(), called in D:\xampp\www\xphp\Controller\IndexController.class.php on line 12 and defined in D:\xampp\www\xphp\Controller\Controller.class.php on line 23
[06-May-2015 03:38:04 Europe/Berlin] PHP Notice:  Undefined variable: var in D:\xampp\www\xphp\Controller\Controller.class.php on line 24
[06-May-2015 03:38:05 Europe/Berlin] PHP Warning:  Missing argument 1 for Controller\Controller::assign(), called in D:\xampp\www\xphp\Controller\IndexController.class.php on line 12 and defined in D:\xampp\www\xphp\Controller\Controller.class.php on line 23
[06-May-2015 03:38:05 Europe/Berlin] PHP Notice:  Undefined variable: var in D:\xampp\www\xphp\Controller\Controller.class.php on line 24
[06-May-2015 03:38:05 Europe/Berlin] PHP Warning:  Missing argument 1 for Controller\Controller::assign(), called in D:\xampp\www\xphp\Controller\IndexController.class.php on line 12 and defined in D:\xampp\www\xphp\Controller\Controller.class.php on line 23
[06-May-2015 03:38:05 Europe/Berlin] PHP Notice:  Undefined variable: var in D:\xampp\www\xphp\Controller\Controller.class.php on line 24
[06-May-2015 03:38:35 Europe/Berlin] PHP Notice:  Use of undefined constant path - assumed 'path' in D:\xampp\www\xphp\Controller\IndexController.class.php on line 12
[06-May-2015 03:41:02 Europe/Berlin] PHP Notice:  Use of undefined constant path - assumed 'path' in D:\xampp\www\xphp\Controller\IndexController.class.php on line 12
[06-May-2015 03:42:06 Europe/Berlin] PHP Notice:  Use of undefined constant path - assumed 'path' in D:\xampp\www\xphp\Controller\IndexController.class.php on line 12
[06-May-2015 03:42:07 Europe/Berlin] PHP Notice:  Use of undefined constant path - assumed 'path' in D:\xampp\www\xphp\Controller\IndexController.class.php on line 12
[06-May-2015 03:42:08 Europe/Berlin] PHP Notice:  Use of undefined constant path - assumed 'path' in D:\xampp\www\xphp\Controller\IndexController.class.php on line 12
[06-May-2015 03:49:14 Europe/Berlin] PHP Deprecated:  preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead in D:\xampp\www\xphp\Lib\template.class.php on line 295
[06-May-2015 03:54:10 Europe/Berlin] PHP Fatal error:  Access level to Core\mytpl::__construct() must be public (as in class Lib\template) in D:\xampp\www\xphp\Core\mytpl.class.php on line 4
[06-May-2015 03:54:30 Europe/Berlin] PHP Deprecated:  preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead in D:\xampp\www\xphp\Lib\template.class.php on line 307
